Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jaylen Adams,PG,22,ATL,34,1,12.6,1.1,3.2,.345,0.7,2.2,.338,0.4,1.1,.361,.459,0.2,0.3,.778,0.3,1.4,1.8,1.9,0.4,0.1,0.8,1.3,3.2
Deng Adel,SF,21,CLE,19,3,10.2,0.6,1.9,.306,0.3,1.2,.261,0.3,0.7,.385,.389,0.2,0.2,1.000,0.2,0.8,1.0,0.3,0.1,0.2,0.3,0.7,1.7
Jarrett Allen,C,20,BRK,80,80,26.2,4.2,7.1,.590,0.1,0.6,.133,4.1,6.5,.629,.595,2.5,3.5,.709,2.4,6.0,8.4,1.4,0.5,1.5,1.3,2.3,10.9
Justin Anderson,SF,25,ATL,48,4,9.6,1.3,3.3,.408,0.5,1.6,.312,0.8,1.7,.500,.484,0.5,0.7,.743,0.5,1.3,1.8,0.5,0.5,0.3,0.5,1.0,3.7
Kent Bazemore,SG,29,ATL,67,35,24.5,4.1,10.3,.402,1.4,4.5,.320,2.7,5.8,.465,.472,1.9,2.6,.726,0.6,3.3,3.9,2.3,1.3,0.6,1.8,2.5,11.6
DeAndre' Bembry,SG,24,ATL,82,15,23.5,3.4,7.5,.446,0.6,2.1,.289,2.7,5.4,.508,.487,1.1,1.7,.640,0.7,3.7,4.4,2.5,1.3,0.5,1.7,2.3,8.4
Jaron Blossomgame,SF,25,CLE,27,4,16.3,1.7,3.9,.443,0.4,1.4,.256,1.4,2.5,.552,.491,0.4,0.5,.769,1.0,2.7,3.6,0.5,0.3,0.3,0.4,0.7,4.2
Alec Burks,SG,27,CLE,34,24,28.8,4.0,10.0,.400,1.3,3.5,.378,2.7,6.5,.412,.466,2.3,2.9,.806,0.8,4.7,5.5,2.9,0.7,0.5,1.4,1.8,11.6
DeMarre Carroll,PF,32,BRK,67,8,25.4,3.4,8.6,.395,1.6,4.6,.342,1.8,4.0,.457,.487,2.7,3.6,.760,1.0,4.2,5.2,1.3,0.5,0.1,1.1,1.7,11.1
Vince Carter,PF,42,ATL,76,9,17.5,2.6,6.2,.419,1.6,4.2,.389,1.0,2.0,.480,.550,0.6,0.9,.712,0.4,2.1,2.6,1.1,0.6,0.4,0.6,1.9,7.4
Marquese Chriss,PF,21,CLE,27,2,14.6,2.1,5.4,.384,0.6,2.1,.263,1.5,3.3,.461,.435,1.0,1.4,.684,1.2,3.0,4.2,0.6,0.6,0.3,0.9,2.4,5.7
Jordan Clarkson,SG,26,CLE,81,0,27.3,6.5,14.6,.448,1.8,5.5,.324,4.8,9.1,.524,.509,2.0,2.4,.844,1.0,2.3,3.3,2.4,0.7,0.2,1.7,1.4,16.8
John Collins,PF,21,ATL,61,59,30.0,7.6,13.6,.560,0.9,2.6,.348,6.7,11.0,.609,.593,3.3,4.4,.763,3.6,6.2,9.8,2.0,0.4,0.6,2.0,3.3,19.5
Allen Crabbe,SG,26,BRK,43,20,26.3,3.2,8.7,.367,2.3,6.0,.378,0.9,2.7,.342,.499,1.0,1.3,.732,0.4,3.1,3.4,1.1,0.5,0.3,1.1,2.4,9.6
Mitch Creek,SF,26,BRK,4,0,9.0,1.3,2.5,.500,0.0,0.3,.000,1.3,2.3,.556,.500,1.3,1.8,.714,1.3,1.3,2.5,1.3,0.3,0.0,0.0,0.8,3.8
Deyonta Davis,C,22,ATL,9,0,13.1,1.7,2.4,.682,0.0,0.1,.000,1.7,2.3,.714,.682,0.7,1.1,.600,1.1,2.9,4.0,0.6,0.3,0.6,0.3,1.3,4.0
Ed Davis,C,29,BRK,81,1,17.9,2.3,3.7,.616,0.0,0.0,.000,2.3,3.7,.620,.616,1.2,2.0,.617,2.7,5.9,8.6,0.8,0.4,0.4,0.8,2.8,5.8
Dewayne Dedmon,C,29,ATL,64,52,25.1,4.0,8.2,.492,1.3,3.4,.382,2.8,4.8,.570,.571,1.4,1.8,.814,1.6,5.9,7.5,1.4,1.1,1.1,1.3,3.3,10.8
Sam Dekker,PF,24,CLE,9,5,18.8,2.4,5.3,.458,0.6,1.4,.385,1.9,3.9,.486,.510,0.9,1.1,.800,1.0,2.7,3.7,1.0,1.2,0.0,0.6,1.4,6.3
Matthew Dellavedova,PG,28,CLE,36,0,19.9,2.6,6.2,.413,1.1,3.3,.336,1.4,2.9,.500,.502,1.1,1.3,.792,0.2,1.7,1.9,4.2,0.3,0.1,1.6,1.8,7.3
Spencer Dinwiddie,PG,25,BRK,68,4,28.1,5.4,12.2,.442,1.8,5.4,.335,3.6,6.7,.528,.517,4.2,5.2,.806,0.4,2.1,2.4,4.6,0.6,0.3,2.2,2.8,16.8
Tyler Dorsey,SG,22,ATL,27,0,9.3,1.2,3.3,.360,0.4,1.4,.256,0.8,1.9,.440,.416,0.6,1.0,.615,0.3,1.3,1.6,0.6,0.3,0.0,0.4,0.7,3.3
Jared Dudley,PF,33,BRK,59,25,20.7,1.7,4.1,.423,0.9,2.6,.351,0.8,1.5,.545,.533,0.5,0.8,.696,0.6,2.1,2.6,1.4,0.6,0.3,0.7,2.2,4.9
Kenneth Faried,C,29,BRK,12,0,9.8,2.1,3.5,.595,0.1,0.4,.200,2.0,3.1,.649,.607,0.8,1.3,.625,1.3,2.4,3.7,0.2,0.2,0.3,0.5,0.7,5.1
Channing Frye,C,35,CLE,36,6,9.5,1.2,3.3,.368,0.9,2.2,.405,0.3,1.1,.289,.504,0.3,0.4,.786,0.1,1.3,1.4,0.6,0.2,0.1,0.4,1.2,3.6
Treveon Graham,SG,25,BRK,35,21,20.4,1.8,5.5,.335,1.1,3.7,.297,0.7,1.8,.413,.435,0.5,0.6,.818,0.7,2.4,3.1,1.0,0.4,0.2,0.5,1.9,5.3
Daniel Hamilton,SG,23,ATL,19,3,10.7,1.2,3.2,.383,0.4,1.2,.348,0.8,1.9,.405,.450,0.2,0.3,.500,0.5,1.9,2.5,1.2,0.3,0.1,0.8,1.0,3.0
Joe Harris,SG,27,BRK,76,76,30.2,4.9,9.8,.500,2.4,5.1,.474,2.5,4.8,.528,.622,1.4,1.8,.827,0.7,3.1,3.8,2.4,0.5,0.2,1.6,2.4,13.7
Andrew Harrison,PG,24,CLE,10,0,14.4,1.2,3.9,.308,0.3,1.4,.214,0.9,2.5,.360,.346,1.6,1.6,1.000,0.4,1.1,1.5,1.7,0.4,0.2,1.0,2.6,4.3
George Hill,PG,32,CLE,13,13,26.5,4.2,8.2,.514,1.0,2.2,.464,3.2,6.1,.532,.575,1.3,1.5,.850,0.9,1.2,2.1,2.8,0.9,0.1,1.5,2.7,10.8
